LOCATION,PAX
Afghanistan,"17,22,612"
Albania,"3,03,137"
Algeria,"64,42,442"
Angola,"15,16,628"
Antigua and Barbuda,"5,80,174"
Argentina,"1,80,81,937"
Aruba,"2,74,280"
Australia,"7,56,67,645"
Austria,"1,29,35,505"
Azerbaijan,"22,79,546"
Bahamas,"11,97,116"
Bahrain,"58,77,003"
Bangladesh,"59,84,155"
Belarus,"27,60,168"
Belgium,"1,36,39,487"
Belize,"12,97,533"
Benin,"1,12,392"
Bhutan,"2,75,849"
Bolivia,"41,22,113"
Bosnia and Herzegovina,"7,070"
Botswana,"2,53,417"
Brazil,"10,21,09,977"
Brunei,"12,34,455"
Bulgaria,"10,22,645"
Burkina Faso,"1,51,531"
Cambodia,"14,11,059"
Cameroon,"2,65,136"
Canada,"8,93,80,000"
Cape Verde,"1,40,429"
Central African Republic,"46,364"
Chile,"1,95,17,185"
China,"43,61,83,969"
Colombia,"3,37,04,037"
Congo (Democratic Republic),"9,32,043"
Congo (Republic),"3,33,899"
Costa Rica,"19,48,546"
Côte d'Ivoire (Ivory Coast),"7,79,482"
Croatia,"20,93,577"
Cuba,"5,60,754"
Cyprus,"4,01,408"
Czech Republic,"57,27,200"
Denmark,"5,82,011"
Ecuador,"53,65,261"
Egypt,"1,23,40,832"
El Salvador,"25,45,105"
Equatorial Guinea,"4,66,435"
Eritrea,"1,02,729"
Estonia,"31,981"
Ethiopia,"1,15,01,244"
Fiji,"16,70,216"
Finland,"1,33,64,839"
France,"7,01,88,028"
Gambia,"53,735"
Georgia,"5,16,034"
Germany,"10,97,96,202"
Ghana,"4,67,438"
Greece,"1,51,25,933"
Guatemala,"1,45,795"
Honduras,"2,51,149"
Hong Kong,"4,71,01,822"
Hungary,"3,12,26,848"
Iceland,"78,19,740"
India,"16,40,35,637"
Indonesia,"11,51,54,100"
Iran,"2,56,04,871"
Iraq,"20,75,065"
Ireland,"16,75,98,633"
Israel,"74,04,373"
Italy,"2,76,30,435"
Japan,"12,63,87,527"
Jordan,"33,83,805"
Kazakhstan,"71,43,797"
Kenya,"59,35,831"
Kiribati,"66,567"
Korea (North),"1,03,560"
Korea (South),"8,81,57,579"
Kuwait,"64,64,847"
Kyrgyzstan,"7,09,198"
Laos,"12,51,961"
Latvia,"40,58,762"
Lebanon,"29,81,937"
Libya,"9,27,153"
Lithuania,"26,031"
Luxembourg,"20,99,102"
Macau,"31,57,724"
Madagascar,"5,41,290"
Malawi,"10,545"
Malaysia,"6,04,81,772"
Maldives,"11,47,247"
Malta,"25,76,898"
Marshall Islands,"24,313"
Mauritania,"4,54,435"
Mauritius,"17,45,291"
Mexico,"6,45,69,640"
Moldova,"11,35,999"
Mongolia,"6,70,360"
Montenegro,"5,65,522"
Morocco,"81,32,917"
Mozambique,"5,40,124"
Myanmar (Burma),"34,07,788"
Namibia,"6,02,893"
Nauru,"45,457"
Nepal,"32,96,953"
Netherlands,"4,39,96,044"
New Zealand,"1,72,49,049"
Nigeria,"81,69,192"
Oman,"1,04,38,241"
Pakistan,"68,80,637"
Panama,"1,29,39,350"
Papua New Guinea,"9,64,713"
Paraguay,"5,60,631"
Peru,"1,77,58,527"
Philippines,"4,30,80,118"
Poland,"92,77,538"
Portugal,"1,73,67,956"
Qatar,"2,91,78,923"
Romania,"49,08,235"
Russia,"9,93,27,311"
Rwanda,"10,73,528"
Samoa,"1,37,770"
Saudi Arabia,"3,91,41,660"
Senegal,"21,038"
Serbia,"22,62,703"
Seychelles,"4,55,201"
Sierra Leone,"50,193"
Singapore,"4,04,01,515"
Slovenia,"10,94,762"
Solomon Islands,"4,27,806"
Somalia,"4,486"
South Africa,"2,39,21,748"
Spain,"8,06,72,105"
Sri Lanka,"58,82,376"
Sudan,"2,69,958"
Suriname,"2,72,347"
Switzerland,"2,88,57,994"
Syria,"17,896"
Tajikistan,"4,92,320"
Tanzania,"14,81,557"
Thailand,"7,60,53,042"
Togo,"5,66,295"
Trinidad and Tobago,"25,25,130"
Tunisia,"42,74,199"
Turkey,"11,55,95,495"
Turkmenistan,"24,57,474"
Uganda,"21,537"
Ukraine,"78,54,842"
United Arab Emirates,"9,55,33,069"
United Kingdom of Great Britain and Northern Ireland,"16,53,88,610"
United States of America,"88,90,22,000"
Uzbekistan,"30,56,558"
Vanuatu,"3,74,603"
Venezuela,"21,37,771"
Vietnam,"4,70,49,671"
Yemen,"3,36,310"
Zambia,"8,904"
Zimbabwe,"2,85,539"
