COUNTRY,PAX,CODE,
Afghanistan,"17,22,612",AFG,
Albania,"3,03,137",ALB,
Algeria,"64,42,442",DZA,
Angola,"15,16,628",AGO,
Antigua and Barbuda,"5,80,174",ATG,
Argentina,"1,80,81,937",ARG,
Aruba,"2,74,280",ABW,
Australia,"7,56,67,645",AUS,
Austria,"1,29,35,505",AUT,
Azerbaijan,"22,79,546",AZE,
Bahamas,"11,97,116",BHS,
Bahrain,"58,77,003",BHR,
Bangladesh,"59,84,155",BGD,
Belarus,"27,60,168",BLR,
Belgium,"1,36,39,487",BEL,
Belize,"12,97,533",BLZ,
Benin,"1,12,392",BEN,
Bhutan,"2,75,849",BTN,
Bolivia,"41,22,113",BOL,
Bosnia and Herzegovina,"7,070",BIH,
Botswana,"2,53,417",BWA,
Brazil,"10,21,09,977",BRA,
Brunei,"12,34,455",BRN,
Bulgaria,"10,22,645",BGR,
Burkina Faso,"1,51,531",BFA,
Cambodia,"14,11,059",KHM,
Cameroon,"2,65,136",CMR,
Canada,"8,93,80,000",CAN,
Cape Verde,"1,40,429",CPV,
Central African Republic,"46,364",CAF,
Chile,"1,95,17,185",CHL,
China,"43,61,83,969",CHN,
Colombia,"3,37,04,037",COL,
Congo (Democratic Republic),"9,32,043",COD,
Congo (Republic),"3,33,899",COG,
Costa Rica,"19,48,546",CRI,
Côte d'Ivoire (Ivory Coast),"7,79,482",CIV,
Croatia,"20,93,577",HRV,
Cuba,"5,60,754",CUB,
Cyprus,"4,01,408",CYP,
Czech Republic,"57,27,200",CZE,
Denmark,"5,82,011",DNK,
Ecuador,"53,65,261",ECU,
Egypt,"1,23,40,832",EGY,
El Salvador,"25,45,105",SLV,
Equatorial Guinea,"4,66,435",GNQ,
Eritrea,"1,02,729",ERI,
Estonia,"31,981",EST,
Ethiopia,"1,15,01,244",ETH,
Fiji,"16,70,216",FJI,
Finland,"1,33,64,839",FIN,
France,"7,01,88,028",FRA,
Gambia,"53,735",GMB,
Georgia,"5,16,034",GEO,
Germany,"10,97,96,202",DEU,
Ghana,"4,67,438",GHA,
Greece,"1,51,25,933",GRC,
Guatemala,"1,45,795",GTM,
Honduras,"2,51,149",HND,
Hong Kong,"4,71,01,822",HKG,
Hungary,"3,12,26,848",HUN,
Iceland,"78,19,740",ISL,
India,"16,40,35,637",IND,
Indonesia,"11,51,54,100",IDN,
Iran,"2,56,04,871",IRN,
Iraq,"20,75,065",IRQ,
Ireland,"16,75,98,633",IRL,
Israel,"74,04,373",ISR,
Italy,"2,76,30,435",ITA,
Japan,"12,63,87,527",JPN,
Jordan,"33,83,805",JOR,
Kazakhstan,"71,43,797",KAZ,
Kenya,"59,35,831",KEN,
Kiribati,"66,567",KIR,
Korea (North),"1,03,560",PRK,
Korea (South),"8,81,57,579",KOR,
Kuwait,"64,64,847",KWT,
Kyrgyzstan,"7,09,198",KGZ,
Laos,"12,51,961",LAO,
Latvia,"40,58,762",LVA,
Lebanon,"29,81,937",LBN,
Libya,"9,27,153",LBY,
Lithuania,"26,031",LTU,
Luxembourg,"20,99,102",LUX,
Macau,"31,57,724",MAC,
Madagascar,"5,41,290",MDG,
Malawi,"10,545",MWI,
Malaysia,"6,04,81,772",MYS,
Maldives,"11,47,247",MDV,
Malta,"25,76,898",MLT,
Marshall Islands,"24,313",MHL,
Mauritania,"4,54,435",MRT,
Mauritius,"17,45,291",MUS,
Mexico,"6,45,69,640",MEX,
Moldova,"11,35,999",MDA,
Mongolia,"6,70,360",MNG,
Montenegro,"5,65,522",MNE,
Morocco,"81,32,917",MAR,
Mozambique,"5,40,124",MOZ,
Myanmar (Burma),"34,07,788",MMR,
Namibia,"6,02,893",NAM,
Nauru,"45,457",NRU,
Nepal,"32,96,953",NPL,
Netherlands,"4,39,96,044",NLD,
New Zealand,"1,72,49,049",NZL,
Nigeria,"81,69,192",NGA,
Oman,"1,04,38,241",OMN,
Pakistan,"68,80,637",PAK,
Panama,"1,29,39,350",PAN,
Papua New Guinea,"9,64,713",PNG,
Paraguay,"5,60,631",PRY,
Peru,"1,77,58,527",PER,
Philippines,"4,30,80,118",PHL,
Poland,"92,77,538",POL,
Portugal,"1,73,67,956",PRT,
Qatar,"2,91,78,923",QAT,
Romania,"49,08,235",ROU,
Russia,"9,93,27,311",RUS,
Rwanda,"10,73,528",RWA,
Samoa,"1,37,770",WSM,
Saudi Arabia,"3,91,41,660",SAU,
Senegal,"21,038",SEN,
Serbia,"22,62,703",SRB,
Seychelles,"4,55,201",SYC,
Sierra Leone,"50,193",SLE,
Singapore,"4,04,01,515",SGP,
Slovenia,"10,94,762",SVN,
Solomon Islands,"4,27,806",SLB,
Somalia,"4,486",SOM,
South Africa,"2,39,21,748",ZAF,
Spain,"8,06,72,105",ESP,
Sri Lanka,"58,82,376",LKA,
Sudan,"2,69,958",SDN,
Suriname,"2,72,347",SUR,
Switzerland,"2,88,57,994",CHE,
Syria,"17,896",SYR,
Tajikistan,"4,92,320",TJK,
Tanzania,"14,81,557",TZA,
Thailand,"7,60,53,042",THA,
Togo,"5,66,295",TGO,
Trinidad and Tobago,"25,25,130",TTO,
Tunisia,"42,74,199",TUN,
Turkey,"11,55,95,495",TUR,
Turkmenistan,"24,57,474",TKM,
Uganda,"21,537",UGA,
Ukraine,"78,54,842",UKR,
United Arab Emirates,"9,55,33,069",ARE,
United Kingdom of Great Britain and Northern Ireland,"16,53,88,610",GBR,
United States of America,"88,90,22,000",USA,
Uzbekistan,"30,56,558",UZB,
Vanuatu,"3,74,603",VUT,
Venezuela,"21,37,771",VEN,
Vietnam,"4,70,49,671",VNM,
Yemen,"3,36,310",YEM,
Zambia,"8,904",ZMB,
Zimbabwe,"2,85,539",ZWE,
