country,code,emissions,,,
Afghanistan,AFG,8344829,,,
Albania,ALB,4733888,,,
Algeria,DZA,161486543,,,
Andorra,AND,494640,,,
Angola,AGO,24375801,,,
Anguilla,AIA,142896,,,
Antigua and Barbuda,ATG,498304,,,
Argentina,ARG,181099627,,,
Armenia,ARM,5825786,,,
Aruba,ABW,872032,,,
Australia,AUS,416001157,,,
Austria,AUT,66565408,,,
Azerbaijan,AZE,36847258,,,
Bahamas,BHS,2700368,,,
Bahrain,BHR,32609540,,,
Bangladesh,BGD,82599936,,,
Barbados,BRB,1235544,,,
Belarus,BLR,60961760,,,
Belgium,BEL,100227169,,,
Belize,BLZ,604560,,,
Benin,BEN,7254633,,,
Bermuda,BMU,710816,,,
Bhutan,BTN,1435932,,,
Bolivia,BOL,23855821,,,
Bonaire Sint Eustatius and Saba,BES,348080,,,
Bosnia and Herzegovina,BIH,22075036,,,
Botswana,BWA,7561368,,,
Brazil,BRA,483685288,,,
British Virgin Islands,VGB,161216,,,
Brunei,BRN,9592352,,,
Bulgaria,BGR,43637529,,,
Burkina Faso,BFA,4300747,,,
Burundi,BDI,679317,,,
Cambodia,KHM,12878613,,,
Cameroon,CMR,7931958,,,
Canada,CAN,579470372,,,
Cape Verde,CPV,597232,,,
Central African Republic,CAF,219840,,,
Chad,TCD,1044295,,,
Chile,CHL,84409267,,,
China,CHN,1.029e+10,,,
Colombia,COL,84880525,,,
Comoros,COM,293120,,,
Congo,COG,3622516,,,
Cook Islands,COK,76944,,,
Costa Rica,CRI,8222150,,,
Cote d'Ivoire,CIV,10251872,,,
Croatia,HRV,17698215,,,
Cuba,CUB,22608510,,,
Curacao,CUW,3828880,,,
Cyprus,CYP,7340346,,,
Czechia,CZE,106131600,,,
Democratic Republic of Congo,COD,2779707,,,
Denmark,DNK,34672351,,,
Djibouti,DJI,388728,,,
Dominica,DMA,161216,,,
Dominican Republic,DOM,25698088,,,
Ecuador,ECU,37919441,,,
Egypt,EGY,227721467,,,
El Salvador,SLV,6371211,,,
Equatorial Guinea,GNQ,11211840,,,
Eritrea,ERI,804658,,,
Estonia,EST,17944520,,,
Eswatini,SWZ,1033248,,,
Ethiopia,ETH,16149221,,,
Faeroe Islands,FRO,725472,,,
Fiji,FJI,1351627,,,
Finland,FIN,45848982,,,
France,FRA,322371888,,,
French Guiana,GUF,698756,,,
French Polynesia,PYF,802416,,,
Gabon,GAB,4758880,,,
Gambia,GMB,542272,,,
Georgia,GEO,10104572,,,
Germany,DEU,754111607,,,
Ghana,GHA,16682630,,,
Greece,GRC,71807547,,,
Greenland,GRL,548021,,,
Grenada,GRD,307776,,,
Guadeloupe,GLP,2457695,,,
Guatemala,GTM,18646365,,,
Guinea,GIN,3685984,,,
Guinea-Bissau,GNB,311440,,,
Guyana,GUY,2480982,,,
Haiti,HTI,3367809,,,
Honduras,HND,10049978,,,
Hong Kong,HKG,42738009,,,
Hungary,HUN,49407953,,,
Iceland,ISL,3663377,,,
India,IND,2599805717,,,
Indonesia,IDN,614884277,,,
Iran,IRN,707157389,,,
Iraq,IRQ,211325685,,,
Ireland,IRL,39195155,,,
Israel,ISR,60546051,,,
Italy,ITA,349020446,,,
Jamaica,JAM,8038802,,,
Japan,JPN,1143457876,,,
Jordan,JOR,25259630,,,
Kazakhstan,KAZ,317279662,,,
Kenya,KEN,18016496,,,
Kiribati,KIR,65952,,,
Kosovo,OWID_KOS,8148736,,,
Kuwait,KWT,95575260,,,
Kyrgyzstan,KGZ,11697709,,,
Laos,LAO,19524017,,,
Latvia,LVA,7859362,,,
Lebanon,LBN,26551199,,,
Lesotho,LSO,2583120,,,
Liberia,LBR,1085305,,,
Libya,LBY,53361533,,,
Liechtenstein,LIE,142307,,,
Lithuania,LTU,13696228,,,
Luxembourg,LUX,9568440,,,
Macao,MAC,1216448,,,
Madagascar,MDG,4166663,,,
Malawi,MWI,1570154,,,
Malaysia,MYS,272229353,,,
Maldives,MDV,1740400,,,
Mali,MLI,3659601,,,
Malta,MLT,1538318,,,
Marshall Islands,MHL,146560,,,
Martinique,MTQ,2252887,,,
Mauritania,MRT,3667664,,,
Mauritius,MUS,4514048,,,
Mayotte,MYT,293156,,,
Mexico,MEX,455307901,,,
Micronesia (country),FSM,142896,,,
Moldova,MDA,5432857,,,
Mongolia,MNG,47537186,,,
Montenegro,MNE,2399920,,,
Montserrat,MSR,29312,,,
Morocco,MAR,62295068,,,
Mozambique,MOZ,6891311,,,
Myanmar,MMR,32680027,,,
Namibia,NAM,4076921,,,
Nauru,NRU,54960,,,
Nepal,NPL,13690047,,,
Netherlands,NLD,159020034,,,
New Caledonia,NCL,5785320,,,
New Zealand,NZL,35789215,,,
Nicaragua,NIC,5280872,,,
Niger,NER,1863142,,,
Nigeria,NGA,127928170,,,
Niue,NIU,10992,,,
North Korea,PRK,17673845,,,
North Macedonia,MKD,7023888,,,
Norway,NOR,44469000,,,
Oman,OMN,60616976,,,
Pakistan,PAK,238305865,,,
Palau,PLW,212512,,,
Palestine,PSE,2956848,,,
Panama,PAN,10730711,,,
Papua New Guinea,PNG,6408336,,,
Paraguay,PRY,8509239,,,
Peru,PER,54649143,,,
Philippines,PHL,140658221,,,
Poland,POL,336992311,,,
Portugal,PRT,51492414,,,
Qatar,QAT,106926980,,,
Reunion,REU,4401362,,,
Romania,ROU,77608829,,,
Russia,RUS,1691646718,,,
Rwanda,RWA,1142030,,,
Saint Helena,SHN,10992,,,
Saint Kitts and Nevis,KNA,245488,,,
Saint Lucia,LCA,509296,,,
Saint Pierre and Miquelon,SPM,58624,,,
Saint Vincent and the Grenadines,VCT,241824,,,
Samoa,WSM,238160,,,
Sao Tome and Principe,STP,131904,,,
Saudi Arabia,SAU,621952743,,,
Senegal,SEN,11330392,,,
Serbia,SRB,44260984,,,
Seychelles,SYC,556928,,,
Sierra Leone,SLE,952640,,,
Singapore,SGP,46001520,,,
Sint Maarten (Dutch part),SXM,721808,,,
Slovakia,SVK,36029541,,,
Slovenia,SVN,14493544,,,
Solomon Islands,SLB,289456,,,
Somalia,SOM,637536,,,
South Africa,ZAF,464192622,,,
South Korea,KOR,671630709,,,
South Sudan,SSD,1337360,,,
Spain,ESP,269713437,,,
Sri Lanka,LKA,20998382,,,
Sudan,SDN,21179973,,,
Suriname,SUR,2514342,,,
Sweden,SWE,42095408,,,
Switzerland,CHE,36867631,,,
Syria,SYR,30365540,,,
Taiwan,TWN,282843000,,,
Tajikistan,TJK,9107618,,,
Tanzania,TZA,11790770,,,
Thailand,THA,276176956,,,
Timor,TLS,509296,,,
Togo,TGO,2290044,,,
Tonga,TON,139232,,,
Trinidad and Tobago,TTO,40475386,,,
Tunisia,TUN,29362809,,,
Turkey,TUR,419436905,,,
Turkmenistan,TKM,70446995,,,
Turks and Caicos Islands,TCA,234496,,,
Tuvalu,TUV,7328,,,
Uganda,UGA,5498383,,,
Ukraine,UKR,232032926,,,
United Arab Emirates,ARE,154203574,,,
United Kingdom,GBR,381889659,,,
United States,USA,5375490614,,,
Uruguay,URY,6570970,,,
Uzbekistan,UZB,114732232,,,
Vanuatu,VUT,175872,,,
Venezuela,VEN,120176685,,,
Vietnam,VNM,223717789,,,
Wallis and Futuna,WLF,25648,,,
World,OWID_WRL,3.6646e+10,,,
Yemen,YEM,9983747,,,
Zambia,ZMB,7313113,,,
Zimbabwe,ZWE,11854367,,,
