country,code,emissions,emissions,,
Afghanistan,AFG,8344829,8.344829,,
Albania,ALB,4733888,4.733888,,
Algeria,DZA,161486543,161.486543,,
Andorra,AND,494640,0.49464,,
Angola,AGO,24375801,24.375801,,
Anguilla,AIA,142896,0,,
Antigua and Barbuda,ATG,498304,0.498304,,
Argentina,ARG,181099627,181.099627,,
Armenia,ARM,5825786,5.825786,,
Aruba,ABW,872032,0.872032,,
Australia,AUS,416001157,416.001157,,
Austria,AUT,66565408,66.565408,,
Azerbaijan,AZE,36847258,36.847258,,
Bahamas,BHS,2700368,2.700368,,
Bahrain,BHR,32609540,32.60954,,
Bangladesh,BGD,82599936,82.599936,,
Barbados,BRB,1235544,1.235544,,
Belarus,BLR,60961760,60.96176,,
Belgium,BEL,100227169,100.227169,,
Belize,BLZ,604560,0.60456,,
Benin,BEN,7254633,7.254633,,
Bermuda,BMU,710816,0.710816,,
Bhutan,BTN,1435932,1.435932,,
Bolivia,BOL,23855821,23.855821,,
Bonaire Sint Eustatius and Saba,BES,348080,0.34808,,
Bosnia and Herzegovina,BIH,22075036,22.075036,,
Botswana,BWA,7561368,7.561368,,
Brazil,BRA,483685288,483.685288,,
British Virgin Islands,VGB,161216,0.161216,,
Brunei,BRN,9592352,9.592352,,
Bulgaria,BGR,43637529,43.637529,,
Burkina Faso,BFA,4300747,4.300747,,
Burundi,BDI,679317,0.679317,,
Cambodia,KHM,12878613,12.878613,,
Cameroon,CMR,7931958,7.931958,,
Canada,CAN,579470372,579.470372,,
Cape Verde,CPV,597232,0.597232,,
Central African Republic,CAF,219840,0.21984,,
Chad,TCD,1044295,1.044295,,
Chile,CHL,84409267,84.409267,,
China,CHN,10290000000,10290,,
Colombia,COL,84880525,84.880525,,
Comoros,COM,293120,0.29312,,
Congo,COG,3622516,3.622516,,
Cook Islands,COK,76944,0.076944,,
Costa Rica,CRI,8222150,8.22215,,
Cote d'Ivoire,CIV,10251872,10.251872,,
Croatia,HRV,17698215,17.698215,,
Cuba,CUB,22608510,22.60851,,
Curacao,CUW,3828880,3.82888,,
Cyprus,CYP,7340346,7.340346,,
Czechia,CZE,106131600,106.1316,,
Democratic Republic of Congo,COD,2779707,2.779707,,
Denmark,DNK,34672351,34.672351,,
Djibouti,DJI,388728,0.388728,,
Dominica,DMA,161216,0.161216,,
Dominican Republic,DOM,25698088,25.698088,,
Ecuador,ECU,37919441,37.919441,,
Egypt,EGY,227721467,227.721467,,
El Salvador,SLV,6371211,6.371211,,
Equatorial Guinea,GNQ,11211840,11.21184,,
Eritrea,ERI,804658,0.804658,,
Estonia,EST,17944520,17.94452,,
Eswatini,SWZ,1033248,1.033248,,
Ethiopia,ETH,16149221,16.149221,,
Faeroe Islands,FRO,725472,0.725472,,
Fiji,FJI,1351627,1.351627,,
Finland,FIN,45848982,45.848982,,
France,FRA,322371888,322.371888,,
French Guiana,GUF,698756,0.698756,,
French Polynesia,PYF,802416,0.802416,,
Gabon,GAB,4758880,4.75888,,
Gambia,GMB,542272,0.542272,,
Georgia,GEO,10104572,10.104572,,
Germany,DEU,754111607,754.111607,,
Ghana,GHA,16682630,16.68263,,
Greece,GRC,71807547,71.807547,,
Greenland,GRL,548021,0.548021,,
Grenada,GRD,307776,0.307776,,
Guadeloupe,GLP,2457695,2.457695,,
Guatemala,GTM,18646365,18.646365,,
Guinea,GIN,3685984,3.685984,,
Guinea-Bissau,GNB,311440,0.31144,,
Guyana,GUY,2480982,2.480982,,
Haiti,HTI,3367809,3.367809,,
Honduras,HND,10049978,10.049978,,
Hong Kong,HKG,42738009,42.738009,,
Hungary,HUN,49407953,49.407953,,
Iceland,ISL,3663377,3.663377,,
India,IND,2599805717,2599.805717,,
Indonesia,IDN,614884277,614.884277,,
Iran,IRN,707157389,707.157389,,
Iraq,IRQ,211325685,211.325685,,
Ireland,IRL,39195155,39.195155,,
Israel,ISR,60546051,60.546051,,
Italy,ITA,349020446,349.020446,,
Jamaica,JAM,8038802,8.038802,,
Japan,JPN,1143457876,1143.457876,,
Jordan,JOR,25259630,25.25963,,
Kazakhstan,KAZ,317279662,317.279662,,
Kenya,KEN,18016496,18.016496,,
Kiribati,KIR,65952,0.065952,,
Kosovo,OWID_KOS,8148736,8.148736,,
Kuwait,KWT,95575260,95.57526,,
Kyrgyzstan,KGZ,11697709,11.697709,,
Laos,LAO,19524017,19.524017,,
Latvia,LVA,7859362,7.859362,,
Lebanon,LBN,26551199,26.551199,,
Lesotho,LSO,2583120,2.58312,,
Liberia,LBR,1085305,1.085305,,
Libya,LBY,53361533,53.361533,,
Liechtenstein,LIE,142307,0.142307,,
Lithuania,LTU,13696228,13.696228,,
Luxembourg,LUX,9568440,9.56844,,
Macao,MAC,1216448,1.216448,,
Madagascar,MDG,4166663,4.166663,,
Malawi,MWI,1570154,1.570154,,
Malaysia,MYS,272229353,272.229353,,
Maldives,MDV,1740400,1.7404,,
Mali,MLI,3659601,3.659601,,
Malta,MLT,1538318,1.538318,,
Marshall Islands,MHL,146560,0.14656,,
Martinique,MTQ,2252887,2.252887,,
Mauritania,MRT,3667664,3.667664,,
Mauritius,MUS,4514048,4.514048,,
Mayotte,MYT,293156,0.293156,,
Mexico,MEX,455307901,455.307901,,
Micronesia (country),FSM,142896,0.142896,,
Moldova,MDA,5432857,5.432857,,
Mongolia,MNG,47537186,47.537186,,
Montenegro,MNE,2399920,2.39992,,
Montserrat,MSR,29312,0.029312,,
Morocco,MAR,62295068,62.295068,,
Mozambique,MOZ,6891311,6.891311,,
Myanmar,MMR,32680027,32.680027,,
Namibia,NAM,4076921,4.076921,,
Nauru,NRU,54960,0.05496,,
Nepal,NPL,13690047,13.690047,,
Netherlands,NLD,159020034,159.020034,,
New Caledonia,NCL,5785320,5.78532,,
New Zealand,NZL,35789215,35.789215,,
Nicaragua,NIC,5280872,5.280872,,
Niger,NER,1863142,1.863142,,
Nigeria,NGA,127928170,127.92817,,
Niue,NIU,10992,0.010992,,
North Korea,PRK,17673845,17.673845,,
North Macedonia,MKD,7023888,7.023888,,
Norway,NOR,44469000,44.469,,
Oman,OMN,60616976,60.616976,,
Pakistan,PAK,238305865,238.305865,,
Palau,PLW,212512,0.212512,,
Palestine,PSE,2956848,2.956848,,
Panama,PAN,10730711,10.730711,,
Papua New Guinea,PNG,6408336,6.408336,,
Paraguay,PRY,8509239,8.509239,,
Peru,PER,54649143,54.649143,,
Philippines,PHL,140658221,140.658221,,
Poland,POL,336992311,336.992311,,
Portugal,PRT,51492414,51.492414,,
Qatar,QAT,106926980,106.92698,,
Reunion,REU,4401362,4.401362,,
Romania,ROU,77608829,77.608829,,
Russia,RUS,1691646718,1691.646718,,
Rwanda,RWA,1142030,1.14203,,
Saint Helena,SHN,10992,0.010992,,
Saint Kitts and Nevis,KNA,245488,0.245488,,
Saint Lucia,LCA,509296,0.509296,,
Saint Pierre and Miquelon,SPM,58624,0.058624,,
Saint Vincent and the Grenadines,VCT,241824,0.241824,,
Samoa,WSM,238160,0.23816,,
Sao Tome and Principe,STP,131904,0.131904,,
Saudi Arabia,SAU,621952743,621.952743,,
Senegal,SEN,11330392,11.330392,,
Serbia,SRB,44260984,44.260984,,
Seychelles,SYC,556928,0.556928,,
Sierra Leone,SLE,952640,0.95264,,
Singapore,SGP,46001520,46.00152,,
Sint Maarten (Dutch part),SXM,721808,0.721808,,
Slovakia,SVK,36029541,36.029541,,
Slovenia,SVN,14493544,14.493544,,
Solomon Islands,SLB,289456,0.289456,,
Somalia,SOM,637536,0.637536,,
South Africa,ZAF,464192622,464.192622,,
South Korea,KOR,671630709,671.630709,,
South Sudan,SSD,1337360,1.33736,,
Spain,ESP,269713437,269.713437,,
Sri Lanka,LKA,20998382,20.998382,,
Sudan,SDN,21179973,21.179973,,
Suriname,SUR,2514342,2.514342,,
Sweden,SWE,42095408,42.095408,,
Switzerland,CHE,36867631,36.867631,,
Syria,SYR,30365540,30.36554,,
Taiwan,TWN,282843000,282.843,,
Tajikistan,TJK,9107618,9.107618,,
Tanzania,TZA,11790770,11.79077,,
Thailand,THA,276176956,276.176956,,
Timor,TLS,509296,0.509296,,
Togo,TGO,2290044,2.290044,,
Tonga,TON,139232,0.139232,,
Trinidad and Tobago,TTO,40475386,40.475386,,
Tunisia,TUN,29362809,29.362809,,
Turkey,TUR,419436905,419.436905,,
Turkmenistan,TKM,70446995,70.446995,,
Turks and Caicos Islands,TCA,234496,0.234496,,
Tuvalu,TUV,7328,0.007328,,
Uganda,UGA,5498383,5.498383,,
Ukraine,UKR,232032926,232.032926,,
United Arab Emirates,ARE,154203574,154.203574,,
United Kingdom,GBR,381889659,381.889659,,
United States,USA,5375490614,5375.490614,,
Uruguay,URY,6570970,6.57097,,
Uzbekistan,UZB,114732232,114.732232,,
Vanuatu,VUT,175872,0.175872,,
Venezuela,VEN,120176685,120.176685,,
Vietnam,VNM,223717789,223.717789,,
Wallis and Futuna,WLF,25648,0.025648,,
World,OWID_WRL,36646000000,36646,,
Yemen,YEM,9983747,9.983747,,
Zambia,ZMB,7313113,7.313113,,
Zimbabwe,ZWE,11854367,11.854367,,
