country,code,emissions
China,CHN,10289989525
United States,USA,5375490614
India,IND,2599805717
Russia,RUS,1691646718
Japan,JPN,1143457876
Germany,DEU,754111607
Iran,IRN,707157389
South Korea,KOR,671630709
Saudi Arabia,SAU,621952743
Indonesia,IDN,614884277
Canada,CAN,579470372
Brazil,BRA,483685288
South Africa,ZAF,464192622
Mexico,MEX,455307901
Turkey,TUR,419436905
Australia,AUS,416001157
United Kingdom,GBR,381889659
Italy,ITA,349020446
Poland,POL,336992311
France,FRA,322371888
Kazakhstan,KAZ,317279662
Taiwan,TWN,282843000
Thailand,THA,276176956
Malaysia,MYS,272229353
Spain,ESP,269713437
Pakistan,PAK,238305865
Ukraine,UKR,232032926
Egypt,EGY,227721467
Vietnam,VNM,223717789
Iraq,IRQ,211325685
Argentina,ARG,181099627
Algeria,DZA,161486543
Netherlands,NLD,159020034
United Arab Emirates,ARE,154203574
Philippines,PHL,140658221
Nigeria,NGA,127928170
Venezuela,VEN,120176685
Uzbekistan,UZB,114732232
Qatar,QAT,106926980
Czechia,CZE,106131600
Belgium,BEL,100227169
Kuwait,KWT,95575260
Colombia,COL,84880525
Chile,CHL,84409267
Bangladesh,BGD,82599936
Romania,ROU,77608829
Greece,GRC,71807547
Turkmenistan,TKM,70446995
Austria,AUT,66565408
Morocco,MAR,62295068
Belarus,BLR,60961760
Oman,OMN,60616976
Israel,ISR,60546051
Peru,PER,54649143
Libya,LBY,53361533
Portugal,PRT,51492414
Hungary,HUN,49407953
Mongolia,MNG,47537186
Singapore,SGP,46001520
Finland,FIN,45848982
Norway,NOR,44469000
Serbia,SRB,44260984
Bulgaria,BGR,43637529
Hong Kong,HKG,42738009
Sweden,SWE,42095408
Trinidad and Tobago,TTO,40475386
Ireland,IRL,39195155
Ecuador,ECU,37919441
Switzerland,CHE,36867631
Azerbaijan,AZE,36847258
Slovakia,SVK,36029541
New Zealand,NZL,35789215
Denmark,DNK,34672351
Myanmar,MMR,32680027
Bahrain,BHR,32609540
Syria,SYR,30365540
Tunisia,TUN,29362809
Lebanon,LBN,26551199
