start_lat,start_lon,end_lat,end_lon,airport1,airport2,cnt
43,-75,34.024,-118.496,JFK,LAX,"2,84,754"
33.748,-84.388,28.538,-81.379,ATL,MCO,"2,62,537"
36.114,-115.172,34.024,-118.496,LAS,LAX,"2,61,484"
43,-75,41.739,-87.554,LGA,ORD,"2,59,734"
33.748,-84.388,26.139,-80.133,ATF,FLL,"2,46,333"
21.315,-157.858,20.887,-156.482,HNL,OGG,"243,084"
34.024,-118.496,37.809,-122.409,LAX,SFO,"234,364"
39.744,-104.950,36.114,-115.172,DEN,LAS,"229,530"
39.744,-104.950,33.481,-112.078,DEN,PHX,"226,932"
34.024,-118.496,41.739,-87.554,LAX,ORD,"222,631"
